"time1_size_e2_fq","rec_serv_e2_fq","env_car_e2_fq","time2_delay_e2_fq","delay_rtt_e2_fq","ncars_e2_fq"
141,615977.6,987481.6,144,760,5
142,630358.4,987481.6,145,2284.2,5
143,618374.4,989878.4,146,2281.8,5
144,630358.4,987481.6,147,3042.4,5
145,620771.2,989878.4,148,2281,5
146,625564.8,985084.8,149,3789.8,5
147,625564.8,985084.8,150,758.2,5
148,623168,989878.4,151,3040,5
149,623168,975497.6,152,1521.2,5
150,623168,987481.6,153,3041,5
151,627961.6,987481.6,154,3040.8,5
152,620771.2,985084.8,155,3788.2,5
153,625564.8,985084.8,156,2273.4,5
154,620771.2,985084.8,157,1513.2,5
155,625564.8,985084.8,158,1517.6,5
156,620771.2,987481.6,159,3803.2,5
157,630358.4,989878.4,160,1521,5
158,618374.4,985084.8,161,1520.2,5
159,630358.4,985084.8,162,3036.6,5
160,618374.4,992275.2,163,2282.4,5
161,630358.4,982688,164,1520.6,5
162,618374.4,989878.4,166,2282.8,5
163,630358.4,985084.8,167,3041.4,5
164,625564.8,989878.4,169,2280.4,5
165,620771.2,985084.8,170,3800.6,5
166,390978,975198,171,1426.895,8
167,390978,985684,172,950.873125,8
168,392476,985684,173,2370.023625,8
169,386484,984186,174,956.175,8
170,390978,985684,175,1904.375,8
171,474866,985684,176,1898.86875,8
172,611184,985684,177,480.5125,8
173,717542,988680,178,1900.565,8
174,760984,987182,179,955.675,8
175,753494,985684,180,1436.4625,8
176,763980,990178,181,1430.85375,8
177,760984,982688,182,957.3625,8
178,554532.363636364,973972.363636364,183,694.735454545455,11
179,551264,984866.909090909,184,1.97818181818182,11
180,553442.909090909,983777.454545455,185,1044.42363636364,11
181,547995.636363636,989224.727272727,186,353.918181818182,11
182,551264,984866.909090909,187,40.4909090909091,11
183,552353.454545455,991403.636363636,188,1169.36363636364,11
184,550174.545454545,980509.090909091,189,1445.81818181818,11
185,553442.909090909,989224.727272727,190,692.727272727273,11
186,562158.545454545,987045.818181818,191,1778.90909090909,11
187,573053.090909091,983777.454545455,192,691.545454545455,11
188,559979.636363636,989224.727272727,193,2100.54545454545,11
189,577410.909090909,983777.454545455,194,1998.45454545455,11
190,549085.090909091,989224.727272727,195,2504.45454545455,11
191,571963.636363636,984866.909090909,196,1725.81818181818,11
192,561069.090909091,984866.909090909,197,2766.18181818182,11
193,574142.545454545,988135.272727273,198,1725.90909090909,11
194,563248,980509.090909091,199,1732.09090909091,11
195,570874.181818182,989224.727272727,200,1731.54545454545,11
196,564337.454545455,983777.454545455,201,1727.09090909091,11
197,568695.272727273,985956.363636364,202,1731.90909090909,11
198,568695.272727273,988135.272727273,203,1731.90909090909,11
199,556711.272727273,979419.636363636,204,2079.27272727273,11
200,567605.818181818,982688,205,1384.54545454545,11
201,549085.090909091,989224.727272727,206,3115.27272727273,11
202,570874.181818182,981598.545454545,207,2075.90909090909,11
203,563248,983777.454545455,208,2421.63636363636,11
204,571963.636363636,981598.545454545,209,2415.45454545455,11
205,562158.545454545,988135.272727273,210,1726.36363636364,11
206,573053.090909091,982688,211,2070.63636363636,11
207,563248,980509.090909091,212,2415.45454545455,11
208,573053.090909091,989224.727272727,213,1383.36363636364,11
209,563248,988135.272727273,214,2420.18181818182,11
210,569784.727272727,980509.090909091,215,1036.18181818182,11
211,564337.454545455,981598.545454545,216,2074.90909090909,11
212,569784.727272727,982688,217,1731.63636363636,11
213,566516.363636364,994672,218,694.363636363636,11
214,567605.818181818,982688,219,1036.45454545455,11
215,568695.272727273,983777.454545455,220,1042.09090909091,11
216,565426.909090909,972882.909090909,221,1043,11
217,569784.727272727,984866.909090909,222,2084.54545454545,11
218,564337.454545455,985956.363636364,223,1731.63636363636,11
219,573053.090909091,988135.272727273,224,2081.09090909091,11
220,564337.454545455,981598.545454545,225,1734.09090909091,11
221,573053.090909091,981598.545454545,226,2078.72727272727,11
222,562158.545454545,980509.090909091,227,1727.27272727273,11
223,570874.181818182,989224.727272727,228,1038.36363636364,11
224,565426.909090909,987045.818181818,229,2422.72727272727,11
225,569784.727272727,985956.363636364,230,1731.63636363636,11
226,559979.636363636,980509.090909091,231,1388.72727272727,11
227,569784.727272727,990314.181818182,232,1037.18181818182,11
228,567605.818181818,982688,233,2076.54545454545,11
229,566516.363636364,989224.727272727,234,2402.18181818182,11
230,568695.272727273,980509.090909091,235,2059.09090909091,11
231,549085.090909091,988135.272727273,236,1730.54545454545,11
232,569784.727272727,988135.272727273,237,2421.90909090909,11
233,563248,980509.090909091,238,1724.54545454545,11
234,571963.636363636,985956.363636364,239,1730.45454545455,11
235,558890.181818182,984866.909090909,240,2763.45454545455,11
236,573053.090909091,985956.363636364,241,3106.09090909091,11
237,561069.090909091,992493.090909091,242,1723.54545454545,11
238,574142.545454545,981598.545454545,243,1719.45454545455,11
239,563248,991403.636363636,244,2068.63636363636,11
240,570874.181818182,990314.181818182,245,1382.18181818182,11
241,563248,988135.272727273,246,1725.90909090909,11
242,571963.636363636,989224.727272727,247,1379.63636363636,11
243,566516.363636364,982688,248,348.090909090909,11
244,567605.818181818,988135.272727273,249,1735.36363636364,11
245,566516.363636364,983777.454545455,250,693.727272727273,11
246,567605.818181818,988135.272727273,251,2079.36363636364,11
247,569784.727272727,978330.181818182,252,1729.27272727273,11
248,563248,988135.272727273,253,1383,11
249,571963.636363636,981598.545454545,254,1732.45454545455,11
250,562158.545454545,981598.545454545,255,2075.81818181818,11
251,573053.090909091,984866.909090909,256,692.272727272727,11
252,564337.454545455,989224.727272727,257,2079.18181818182,11
253,570874.181818182,976151.272727273,258,2077.18181818182,11
254,562158.545454545,985956.363636364,259,1730.90909090909,11
255,575232,983777.454545455,260,1730.27272727273,11
256,562158.545454545,978330.181818182,261,1733.45454545455,11
257,571963.636363636,985956.363636364,263,1736.27272727273,11
258,562158.545454545,987045.818181818,264,1039.90909090909,11
259,571963.636363636,992493.090909091,265,1041.63636363636,11
260,566516.363636364,983777.454545455,266,2427.72727272727,11
261,557800.727272727,983777.454545455,267,692,11
262,566516.363636364,985956.363636364,268,2761.54545454545,11
263,568695.272727273,984866.909090909,269,1730,11
264,568695.272727273,985956.363636364,270,1037.72727272727,11
265,565426.909090909,985956.363636364,271,2069.72727272727,11
266,558890.181818182,980509.090909091,272,1727.45454545455,11
267,565426.909090909,987045.818181818,273,1731.09090909091,11
268,573053.090909091,982688,274,2073.72727272727,11
269,559979.636363636,988135.272727273,275,1729.81818181818,11
270,575232,985956.363636364,276,2077.27272727273,11
271,563248,982688,277,1387.09090909091,11
272,571963.636363636,992493.090909091,278,1382.81818181818,11
273,563248,979419.636363636,279,2072.63636363636,11
274,569784.727272727,991403.636363636,280,3094.81818181818,11
275,564337.454545455,983777.454545455,281,2749.18181818182,11
276,555621.818181818,979419.636363636,282,1360.72727272727,11
277,564337.454545455,982688,283,1725.54545454545,11
278,568695.272727273,977240.727272727,284,1730.18181818182,11
279,567605.818181818,985956.363636364,285,1728.18181818182,11
280,565426.909090909,989224.727272727,286,1038.45454545455,11
281,564337.454545455,985956.363636364,287,1728.72727272727,11
282,563248,987045.818181818,288,1383.90909090909,11
283,570874.181818182,989224.727272727,289,2080.27272727273,11
284,563248,980509.090909091,290,2422.54545454545,11
285,573053.090909091,975061.818181818,291,2419.63636363636,11
286,557800.727272727,988135.272727273,292,2069.54545454545,11
287,571963.636363636,982688,293,1727.72727272727,11
288,562158.545454545,989224.727272727,294,2763.90909090909,11
289,571963.636363636,985956.363636364,295,1382.45454545455,11
290,564337.454545455,987045.818181818,296,1384.81818181818,11
291,568695.272727273,982688,297,2070.09090909091,11
292,563248,985956.363636364,298,1038.45454545455,11
293,569784.727272727,983777.454545455,299,1386.90909090909,11
294,567605.818181818,989224.727272727,300,2080.72727272727,11
295,567605.818181818,981598.545454545,301,2421.09090909091,11
296,567605.818181818,987045.818181818,302,1038.54545454545,11
297,565426.909090909,983777.454545455,303,1383.27272727273,11
298,568695.272727273,985956.363636364,304,2075.27272727273,11
299,565426.909090909,983777.454545455,305,1732.18181818182,11
300,569784.727272727,983777.454545455,306,2768.27272727273,11
301,565426.909090909,985956.363636364,307,1380.09090909091,11
302,569784.727272727,982688,308,2756.90909090909,11
303,566516.363636364,982688,309,1727.36363636364,11
304,573053.090909091,989224.727272727,310,2413.18181818182,11
305,550174.545454545,985956.363636364,311,2073,11
306,573053.090909091,987045.818181818,312,1380.54545454545,11
307,563248,989224.727272727,313,1730.63636363636,11
308,570874.181818182,980509.090909091,314,1382.18181818182,11
309,564337.454545455,985956.363636364,315,1388.81818181818,11
310,568695.272727273,976151.272727273,316,1388.18181818182,11
311,563248,988135.272727273,317,692.727272727273,11
312,568695.272727273,985956.363636364,318,2078.90909090909,11
313,568695.272727273,989224.727272727,319,1381.90909090909,11
314,564337.454545455,985956.363636364,320,1037.27272727273,11
315,569784.727272727,982688,321,1041.54545454545,11
316,565426.909090909,989224.727272727,322,3116.45454545455,11
317,569784.727272727,980509.090909091,323,1726.72727272727,11
318,567605.818181818,982688,324,2076.27272727273,11
319,569784.727272727,988135.272727273,325,1721.36363636364,11
320,562158.545454545,983777.454545455,326,1387,11
321,575232,989224.727272727,327,1383.09090909091,11
322,562158.545454545,975061.818181818,328,1731.27272727273,11
323,571963.636363636,987045.818181818,329,1386.81818181818,11
324,547995.636363636,985956.363636364,330,2079.27272727273,11
325,570874.181818182,979419.636363636,331,1729.90909090909,11
326,566516.363636364,989224.727272727,332,2421.90909090909,11
327,555621.818181818,983777.454545455,333,2756.54545454545,11
328,567605.818181818,987045.818181818,334,1381,11
329,556711.272727273,984866.909090909,335,2415.36363636364,11
330,570874.181818182,990314.181818182,336,2072.81818181818,11
331,551264,984866.909090909,337,1728.72727272727,11
332,573053.090909091,978330.181818182,338,1037.45454545455,11
333,561069.090909091,982688,339,1730.63636363636,11
334,568695.272727273,991403.636363636,340,2074.81818181818,11
335,563248,978330.181818182,341,1038,11
336,571963.636363636,990314.181818182,342,3114.54545454545,11
337,563248,981598.545454545,343,1725.09090909091,11
338,570874.181818182,987045.818181818,344,2070.54545454545,11
339,564337.454545455,979419.636363636,345,1380.36363636364,11
340,570874.181818182,983777.454545455,346,1726.36363636364,11
341,558890.181818182,984866.909090909,347,2422,11
342,568695.272727273,984866.909090909,348,1729.09090909091,11
343,567605.818181818,984866.909090909,349,1038.90909090909,11
344,414646.4,965910.4,350,1776.26666666667,15
345,417842.133333333,986682.666666667,351,1267.46666666667,15
346,414646.4,986682.666666667,352,2030.26666666667,15
347,417842.133333333,985883.733333333,353,1013.6,15
348,413847.466666667,989878.4,354,1772.06666666667,15
349,419440,986682.666666667,355,1012.33066666667,15
350,413847.466666667,987481.6,356,1019.36666666667,15
351,419440,985883.733333333,357,1289.24,15
352,413048.533333333,985883.733333333,358,1571,15
353,415445.333333333,985084.8,359,1554.88,15
354,437016.533333333,982688,360,1055.4,15
355,515312,987481.6,361,1869.73333333333,15
356,553660.8,985084.8,362,540.2,15
357,611982.933333333,985084.8,363,1055.86666666667,15
358,612781.866666667,989079.466666667,364,265.686666666667,15
359,626363.733333333,988280.533333333,365,1865.8,15
360,623966.933333333,985883.733333333,366,1017.58,15
361,611184,985084.8,367,1293.34,15
362,623966.933333333,985084.8,368,829.6,15
363,619972.266666667,985883.733333333,369,1369.66666666667,15
364,615178.666666667,989878.4,370,1231.8,15
365,618374.4,990677.333333333,371,1050.53333333333,15
366,608787.2,982688,372,1343.2,15
367,621570.133333333,989079.466666667,373,771,15
368,629559.466666667,989878.4,374,829.266666666667,15
369,618374.4,984285.866666667,375,1526.53333333333,15
370,628760.533333333,985883.733333333,376,758.8,15
371,621570.133333333,989079.466666667,377,1519.93333333333,15
372,623966.933333333,985883.733333333,378,560.666666666667,15
373,619972.266666667,985883.733333333,379,768.666666666667,15
374,627162.666666667,985084.8,380,1796.37333333333,15
375,623168,988280.533333333,381,1291.97333333333,15
376,611184,977894.4,382,1035.93333333333,15
377,621570.133333333,988280.533333333,383,536.6,15
378,613580.8,984285.866666667,384,1771.82,15
379,561650.133333333,981889.066666667,385,1530.32666666667,15
380,618374.4,985084.8,386,1539.53333333333,15
381,619972.266666667,985883.733333333,387,2514.26666666667,15
382,623168,987481.6,388,1325.66666666667,15
383,603993.6,985084.8,389,768.533333333333,15
384,606390.4,985883.733333333,390,1275.81333333333,15
385,629559.466666667,984285.866666667,391,2.60666666666667,15
386,627162.666666667,985883.733333333,392,779.293333333333,15
387,623168,981889.066666667,393,1543.53333333333,15
388,622369.066666667,990677.333333333,394,1002.89333333333,15
389,603194.666666667,987481.6,395,499.8,15
390,568041.6,979492.266666667,396,570.066666666667,15
391,574433.066666667,985084.8,397,1574.88,15
392,624765.866666667,989079.466666667,398,1014.93333333333,15
393,622369.066666667,981090.133333333,399,1771.66666666667,15
394,594406.4,989878.4,400,832,15
395,581623.466666667,988280.533333333,401,2083.13333333333,15
396,628760.533333333,982688,402,1426.2,15
397,618374.4,984285.866666667,403,1087.53333333333,15
398,629559.466666667,981889.066666667,404,1291.66666666667,15
399,619173.333333333,983486.933333333,405,1668.66666666667,15
400,627961.6,991476.266666667,406,1996.33333333333,15
401,618374.4,981889.066666667,407,1580.86666666667,15
402,631956.266666667,988280.533333333,408,1544.06666666667,15
403,617575.466666667,985883.733333333,409,1538.4,15
404,630358.4,981889.066666667,410,1105.13333333333,15
405,617575.466666667,988280.533333333,411,1357.33333333333,15
406,600797.866666667,984285.866666667,412,1642.6,15
407,622369.066666667,987481.6,413,1648.93333333333,15
408,624765.866666667,990677.333333333,414,2307.26666666667,15
409,624765.866666667,982688,415,1795.86666666667,15
410,623966.933333333,983486.933333333,416,2219.4,15
411,623168,984285.866666667,417,1565.86666666667,15
412,623966.933333333,985084.8,418,1677.66666666667,15
413,611184,984285.866666667,419,1535.6,15
414,619173.333333333,981889.066666667,420,1859.66666666667,15
415,629559.466666667,985883.733333333,421,925.2,15
416,606390.4,982688,422,1844.13333333333,15
417,631956.266666667,977095.466666667,423,1858.06666666667,15
418,616776.533333333,985084.8,424,533.2,15
419,631157.333333333,983486.933333333,425,759.733333333333,15
420,621570.133333333,978693.333333333,426,1251.06666666667,15
421,600797.866666667,983486.933333333,427,1256.66666666667,15
422,619173.333333333,987481.6,428,1518.53333333333,15
423,628760.533333333,985883.733333333,429,1371.73333333333,15
424,623168,981889.066666667,430,844.666666666667,15
425,623966.933333333,985084.8,431,1635.06666666667,15
426,623168,981889.066666667,432,2262.53333333333,15
427,623966.933333333,987481.6,433,1516.26666666667,15
428,599998.933333333,984285.866666667,434,1142.13333333333,15
429,619972.266666667,985084.8,435,1242.73333333333,15
430,627961.6,986682.666666667,436,1737,15
431,621570.133333333,985084.8,437,1140.33333333333,15
432,627961.6,985883.733333333,438,1966.93333333333,15
433,618374.4,989079.466666667,439,813.333333333333,15
434,631956.266666667,986682.666666667,440,1974.6,15
435,599200,987481.6,441,921.866666666667,15
436,627961.6,981090.133333333,442,1537.6,15
437,620771.2,990677.333333333,443,2129,15
438,627162.666666667,981889.066666667,444,1452.73333333333,15
439,621570.133333333,986682.666666667,445,1860.8,15
440,627162.666666667,985883.733333333,446,1476.6,15
441,623966.933333333,985084.8,447,1862.66666666667,15
442,623168,988280.533333333,448,2152.6,15
443,626363.733333333,988280.533333333,449,688.266666666667,15
444,619972.266666667,986682.666666667,450,1195,15
445,599998.933333333,986682.666666667,451,2404.4,15
446,616776.533333333,985084.8,452,1777.06666666667,15
447,629559.466666667,979492.266666667,453,3227.86666666667,15
448,617575.466666667,986682.666666667,454,1701,15
449,630358.4,977095.466666667,455,1771.2,15
450,619173.333333333,981889.066666667,456,1219.4,15
