"time1_size_s_fq","rec_serv_s_fq","env_car_s_fq","time2_delay_s_fq","delay_rtt_s_fq","ncars_s_fq"
158,496137.6,498534.4,158,1.0702,5
159,496137.6,496137.6,159,0.9356,5
160,496137.6,496137.6,160,1.1846,5
161,496137.6,493740.8,161,0.9702,5
162,498534.4,498534.4,162,1.0562,5
163,603993.6,496137.6,163,1.0588,5
164,692675.2,498534.4,164,0.6382,5
165,798134.4,491344,165,1.4338,5
166,492842,489846,166,0.603125,8
167,500332,498834,167,1.78475,8
168,491344,495838,168,1.042125,8
169,497336,497336,169,0.493375,8
170,494340,491344,170,0.612,8
171,495838,495838,171,3.007,8
172,495838,497336,172,1.74475,8
173,494340,495838,173,1.6365,8
174,497336,497336,174,1.772375,8
175,492842,495838,175,3.314375,8
176,501830,497336,176,1.829875,8
177,512316,497336,177,1.627625,8
178,409634.909090909,494612.363636364,178,0.464272727272727,11
179,452123.636363636,492433.454545455,179,3.36772727272727,11
180,473912.727272727,495701.818181818,180,4.47863636363636,11
181,461928.727272727,496791.272727273,181,0.651636363636364,11
182,493522.909090909,494612.363636364,182,0.495818181818182,11
183,488075.636363636,496791.272727273,183,1.06945454545455,11
184,493522.909090909,496791.272727273,184,0.880272727272727,11
185,489165.090909091,495701.818181818,185,4.25636363636364,11
186,473912.727272727,498970.181818182,186,2.79572727272727,11
187,478270.545454545,491344,187,5.92963636363636,11
188,470644.363636364,497880.727272727,188,5.19909090909091,11
189,442318.545454545,494612.363636364,189,4.21863636363636,11
190,454302.545454545,495701.818181818,190,1.21181818181818,11
191,447765.818181818,496791.272727273,191,11.7818181818182,11
192,480449.454545455,492433.454545455,192,5.50472727272727,11
193,446676.363636364,495701.818181818,193,10.8827272727273,11
194,480449.454545455,495701.818181818,194,7.71518181818182,11
195,478270.545454545,494612.363636364,195,4.31781818181818,11
196,475002.181818182,495701.818181818,196,5.20372727272727,11
197,478270.545454545,497880.727272727,197,2.78627272727273,11
