"time1_size_s_fn","rec_serv_s_fn","env_car_s_fn","time2_delay_s_fn","delay_rtt_s_fn","ncars_s_fn"
157,496137.6,493740.8,157,0.9042,5
158,498534.4,500931.2,158,1.2246,5
159,496137.6,493740.8,159,1.5012,5
160,496137.6,498534.4,160,1.118,5
161,498534.4,493740.8,161,0.9904,5
162,491344,498534.4,162,1.18,5
163,606390.4,491344,163,1.8784,5
164,699865.6,493740.8,164,5.3904,5
165,790944,498534.4,165,1.2962,5
166,484686.222222222,492675.555555556,166,0.586333333333333,9
167,498001.777777778,494007.111111111,167,0.348666666666667,9
168,492675.555555556,499333.333333333,168,0.757333333333333,9
169,494007.111111111,494007.111111111,169,2.24411111111111,9
170,495338.666666667,496670.222222222,170,1.79788888888889,9
171,494007.111111111,496670.222222222,171,0.757555555555556,9
172,492675.555555556,496670.222222222,172,3.37688888888889,9
173,496670.222222222,494007.111111111,173,3.00355555555556,9
174,487349.333333333,496670.222222222,174,1.57966666666667,9
175,486017.777777778,494007.111111111,175,4.41755555555556,9
176,491344,498001.777777778,176,2.65777777777778,9
177,487349.333333333,495338.666666667,177,5.664,9
178,408545.454545455,494612.363636364,178,2.13636363636364,11
179,436871.272727273,495701.818181818,179,1.87872727272727,11
180,475002.181818182,496791.272727273,180,3.61990909090909,11
181,480449.454545455,494612.363636364,181,1.16345454545455,11
182,496791.272727273,496791.272727273,182,2.25027272727273,11
183,479360,496791.272727273,183,4.79909090909091,11
184,496791.272727273,492433.454545455,184,2.15890909090909,11
185,488075.636363636,497880.727272727,185,1.72409090909091,11
186,498970.181818182,496791.272727273,186,7.011,11
187,484807.272727273,496791.272727273,187,3.61109090909091,11
188,469554.909090909,498970.181818182,188,13.2281818181818,11
189,451034.181818182,494612.363636364,189,5.53518181818182,11
190,408545.454545455,493522.909090909,190,1.41836363636364,11
191,467376,495701.818181818,191,5.38363636363636,11
192,497880.727272727,495701.818181818,192,1.78954545454545,11
193,460839.272727273,495701.818181818,193,4.36918181818182,11
194,444497.454545455,496791.272727273,194,7.84327272727273,11
195,468465.454545455,496791.272727273,195,4.86318181818182,11
196,488075.636363636,494612.363636364,196,5.91127272727273,11
197,477181.090909091,497880.727272727,197,2.23654545454545,11
198,398740.363636364,495701.818181818,198,10.6381818181818,11
199,433602.909090909,498970.181818182,200,10.9345454545455,11
200,460839.272727273,494612.363636364,201,5.79363636363636,11
201,395472,497880.727272727,202,7.80363636363636,11
202,466286.545454545,493522.909090909,203,7.38309090909091,11
203,463018.181818182,495701.818181818,204,8.01909090909091,11
204,419440,495701.818181818,205,5.15545454545455,11
205,433602.909090909,494612.363636364,206,6.25727272727273,11
206,471733.818181818,496791.272727273,207,9.99090909090909,11
207,486986.181818182,495701.818181818,208,5.5,11
208,463018.181818182,495701.818181818,209,5.31472727272727,11
209,463018.181818182,494612.363636364,210,4.27309090909091,11
210,454302.545454545,493522.909090909,211,6.90309090909091,11
211,488075.636363636,493522.909090909,212,7.576,11
212,449944.727272727,494612.363636364,213,6.784,11
213,367146.181818182,495701.818181818,214,6.38363636363636,11
214,483717.818181818,497880.727272727,215,13.1096363636364,11
215,479360,491344,216,7.73418181818182,11
216,485896.727272727,497880.727272727,217,4.04381818181818,11
217,477181.090909091,490254.545454545,218,4.31027272727273,11
218,482628.363636364,500059.636363636,219,7.07081818181818,11
219,494612.363636364,491344,220,5.67681818181818,11
220,493522.909090909,498970.181818182,221,3.686,11
221,496791.272727273,494612.363636364,222,4.76645454545455,11
222,466286.545454545,493522.909090909,223,7.93090909090909,11
223,369325.090909091,496791.272727273,224,4.79145454545455,11
224,445586.909090909,496791.272727273,225,8.74818181818182,11
225,441229.090909091,496791.272727273,226,5.28472727272727,11
226,432513.454545455,490254.545454545,227,2.62254545454545,11
227,469554.909090909,495701.818181818,228,4.24872727272727,11
228,492433.454545455,495701.818181818,229,7.56581818181818,11
229,473912.727272727,496791.272727273,230,3.75818181818182,11
230,472823.272727273,496791.272727273,231,3.51727272727273,11
231,380219.636363636,495701.818181818,232,1.65454545454545,11
232,429245.090909091,494612.363636364,233,13.9909090909091,11
233,463018.181818182,497880.727272727,234,3.44636363636364,11
234,437960.727272727,494612.363636364,235,3.73181818181818,11
235,480449.454545455,494612.363636364,236,3.38336363636364,11
236,493522.909090909,495701.818181818,237,3.36527272727273,11
237,476091.636363636,494612.363636364,238,5.93554545454545,11
238,483717.818181818,494612.363636364,239,5.73672727272727,11
239,467376,496791.272727273,240,6.51909090909091,11
240,483717.818181818,493522.909090909,241,9.27490909090909,11
241,491344,496791.272727273,242,5.772,11
