"time1_size_e_fn","rec_serv_e_fn","env_car_e_fn","time2_delay_e_fn","delay_rtt_e_fn","ncars_e_fn"
164,167776,500931.2,175,1365.8,5
165,220505.6,496137.6,176,1832.6,5
166,173102.222222222,495338.666666667,177,1493.77777777778,9
167,146471.111111111,496670.222222222,178,1006.55555555556,9
168,155792,498001.777777778,179,1217.88888888889,9
169,110519.111111111,494007.111111111,180,1195.66666666667,9
170,115845.333333333,495338.666666667,181,1007.55555555556,9
171,173102.222222222,499333.333333333,182,753.555555555556,9
172,227696,494007.111111111,183,1510.66666666667,9
173,282289.777777778,499333.333333333,184,1009.44444444444,9
174,315578.666666667,494007.111111111,185,1259.77777777778,9
175,290279.111111111,498001.777777778,186,1516.33333333333,9
176,312915.555555556,496670.222222222,187,755.111111111111,9
177,296936.888888889,496670.222222222,188,252.555555555556,9
178,206996.363636364,492433.454545455,189,620.727272727273,11
179,197191.272727273,496791.272727273,190,1450.72727272727,11
180,202638.545454545,496791.272727273,191,1034.27272727273,11
181,205906.909090909,494612.363636364,192,1029.18181818182,11
182,212443.636363636,495701.818181818,193,826.818181818182,11
183,236411.636363636,497880.727272727,194,1241.54545454545,11
184,268005.818181818,493522.909090909,195,1027.36363636364,11
185,213533.090909091,497880.727272727,196,1028.90909090909,11
186,214622.545454545,494612.363636364,197,1243.45454545455,11
187,213533.090909091,495701.818181818,198,1032.09090909091,11
188,226606.545454545,496791.272727273,199,413.636363636364,11
189,205906.909090909,495701.818181818,200,414.090909090909,11
190,215712,493522.909090909,201,414.909090909091,11
191,203728,498970.181818182,202,416.454545454545,11
192,252753.454545455,492433.454545455,203,416.181818181818,11
193,218980.363636364,497880.727272727,204,624.090909090909,11
194,252753.454545455,494612.363636364,205,831.090909090909,11
195,237501.090909091,496791.272727273,206,1243.36363636364,11
196,233143.272727273,497880.727272727,207,828.090909090909,11
197,234232.727272727,494612.363636364,208,414.090909090909,11
198,203728,497880.727272727,209,623.363636363636,11
199,230964.363636364,493522.909090909,210,417,11
200,244037.818181818,500059.636363636,211,1238.81818181818,11
201,238590.545454545,491344,212,415,11
202,241858.909090909,497880.727272727,213,417.727272727273,11
203,263648,492433.454545455,214,413.818181818182,11
204,258200.727272727,497880.727272727,215,829.363636363636,11
205,230964.363636364,497880.727272727,216,1033.18181818182,11
206,229874.909090909,495701.818181818,217,622,11
207,212443.636363636,493522.909090909,218,1036.63636363636,11
208,233143.272727273,494612.363636364,219,830.363636363636,11
