ohe__app_E,ohe__app_E2,ohe__app_G,ohe__app_S,ohe__approach_FN,ohe__approach_FQ,ohe__approach_FS,ohe__cat_req_hbmlmp,ohe__cat_req_lblllp,ohe__cat_req_mbclcp,ohe__cat_req_mbmlhp,rec_serv,env_car,rtt,ncars,pdr,bc_rtt,rtt_change,pdr_change,rtt_mam,pdr_mam,rtt_masd,log_rtt,log_pdr,log2_rtt,log2_pdr,rtt_sqrd,pdr_sqrd
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,503328.0,491344.0,1.41,1,1.024390243902439,1.0981317352887106,1.128,0.04819976771196288,2.8073333333333337,1.0160665892373208,0.03643449772289637,0.34358970439007686,0.024097551579060524,0.49569516262406876,0.034765418160676624,1.9880999999999998,1.0493753718024985
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,491344.0,503328.0,0.553,1,0.9761904761904762,0.4909412978361965,-0.8569999999999999,-0.04819976771196288,0.7483333333333334,0.9922570654277972,0.02782814886337904,-0.5923972774598022,-0.02409755157906053,-0.8546486144273799,-0.03476541816067664,0.30580900000000005,0.9529478458049886
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,503328.0,491344.0,0.409,1,1.024390243902439,0.3731761838147393,-0.14400000000000007,0.04819976771196288,0.7906666666666666,1.0083236546651182,0.027828148863379136,-0.8940401229393353,0.024097551579060524,-1.2898272517203384,0.034765418160676624,0.16728099999999999,1.0493753718024985
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,491344.0,503328.0,0.286,1,0.9761904761904762,0.26759509859434527,-0.123,-0.04819976771196288,0.416,0.9922570654277972,0.02782814886337904,-1.2517634681622845,-0.02409755157906053,-1.8059129478836977,-0.03476541816067664,0.08179599999999998,0.9529478458049886
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,503328.0,491344.0,1.68,1,1.024390243902439,1.2654110708252202,1.394,0.04819976771196288,0.7916666666666666,1.0083236546651182,0.027828148863379136,0.5187937934151675,0.024097551579060524,0.7484612330040356,0.034765418160676624,2.8223999999999996,1.0493753718024985
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,491344.0,491344.0,0.546,1,1.0,0.4853495454327845,-1.134,-0.024390243902439046,0.8373333333333332,1.000193573364305,0.024100466901230664,-0.6051363032372319,0.0,-0.8730271437422344,0.0,0.29811600000000005,1.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,503328.0,503328.0,5.78,1,1.0,3.162247355502279,5.234,0.0,2.6686666666666667,1.008130081300813,0.014081713882673593,1.7544036826842861,0.0,2.5310694927259543,0.0,33.4084,1.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,491344.0,503328.0,0.558,1,0.9761904761904762,0.494927495925916,-5.222,-0.023809523809523836,2.2946666666666666,0.9920634920634921,0.013746434980705036,-0.583396316600826,-0.02409755157906053,-0.8416629728328994,-0.03476541816067664,0.3113640000000001,0.9529478458049886
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,503328.0,491344.0,0.972,1,1.024390243902439,0.8048264485128711,0.4139999999999999,0.04819976771196288,2.4366666666666665,1.000193573364305,0.024100466901230626,-0.028399474521698,0.024097551579060524,-0.040971781056306174,0.034765418160676624,0.944784,1.0493753718024985
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,491344.0,527296.0,0.372,1,0.9318181818181818,0.3419313360810763,-0.6,-0.09257206208425728,0.6339999999999998,0.9774663006370323,0.046299216685022994,-0.9888614247089905,-0.07061756721395342,-1.4266254735540556,-0.10187961401921364,0.138384,0.868285123966942
