"time1_size_e_fq","rec_serv_e_fq","env_car_e_fq","time2_delay_e_fq","delay_rtt_e_fq","ncars_e_fq"
160,313980.8,496137.6,163,6035.2,5
161,309187.2,496137.6,164,7518,5
162,316377.6,496137.6,166,6019.8,5
163,309187.2,493740.8,167,4518.6,5
164,313980.8,496137.6,168,3013.6,5
165,311584,500931.2,169,3015.8,5
166,194740,488348,170,3754.125,8
167,194740,497336,171,1878.22375,8
168,194740,492842,172,1883.893125,8
169,196238,498834,173,3766.3025,8
170,194740,492842,174,3774.2125,8
171,239680,497336,175,1888.775,8
172,301098,497336,176,11.55,8
173,359520,497336,177,3.48,8
174,378994,497336,178,2834.32375,8
175,383488,494340,179,1900.8875,8
176,378994,494340,180,2839.5,8
177,384986,495838,181,1893.2775,8
178,273453.090909091,490254.545454545,182,2762.22727272727,11
179,278900.363636364,494612.363636364,183,2754.94636363636,11
180,275632,498970.181818182,184,2741.30909090909,11
181,276721.454545455,493522.909090909,185,1368.48727272727,11
182,273453.090909091,500059.636363636,186,2739.61818181818,11
183,276721.454545455,491344,187,2087.28181818182,11
184,276721.454545455,500059.636363636,188,2171.36363636364,11
185,275632,493522.909090909,189,2539.81818181818,11
186,284347.636363636,497880.727272727,190,1361.81818181818,11
187,282168.727272727,496791.272727273,191,2929.27272727273,11
188,287616,498970.181818182,192,3599,11
189,279989.818181818,493522.909090909,193,2404.09090909091,11
190,286526.545454545,496791.272727273,194,2598.09090909091,11
191,279989.818181818,495701.818181818,195,1836.90909090909,11
192,287616,497880.727272727,196,3497.09090909091,11
193,278900.363636364,497880.727272727,197,3468.90909090909,11
194,286526.545454545,494612.363636364,198,4013.72727272727,11
195,279989.818181818,494612.363636364,199,2053.63636363636,11
196,288705.454545455,497880.727272727,200,4308.90909090909,11
197,278900.363636364,495701.818181818,201,2052.36363636364,11
198,285437.090909091,495701.818181818,202,3074.27272727273,11
199,281079.272727273,495701.818181818,203,2013.72727272727,11
200,287616,495701.818181818,204,2709,11
201,282168.727272727,492433.454545455,205,2058,11
202,283258.181818182,495701.818181818,206,3431.81818181818,11
203,284347.636363636,497880.727272727,207,1363.09090909091,11
204,283258.181818182,494612.363636364,208,4127.36363636364,11
205,284347.636363636,495701.818181818,209,5498.90909090909,11
206,282168.727272727,498970.181818182,210,2749.54545454545,11
207,287616,494612.363636364,211,3429.72727272727,11
208,278900.363636364,496791.272727273,212,2053.72727272727,11
209,287616,494612.363636364,213,4788,11
