"time1_size_e_fs","rec_serv_e_fs","env_car_e_fs","time2_delay_e_fs","delay_rtt_e_fs","ncars_e_fs"
138,496137.6,496137.6,139,4638.2,5
139,496137.6,503328,140,4640.6,5
140,496137.6,493740.8,141,4639.4,5
141,493740.8,498534.4,142,4635.6,5
142,498534.4,496137.6,143,4634.4,5
143,498534.4,493740.8,144,4630.2,5
144,496137.6,496137.6,145,5560,5
145,496137.6,496137.6,146,4622.2,5
146,498534.4,498534.4,147,4619.6,5
147,496137.6,491344,148,4623.4,5
148,493740.8,498534.4,149,3703.2,5
149,498534.4,493740.8,150,5555.4,5
150,493740.8,496137.6,151,3706.8,5
151,496137.6,496137.6,152,4629.2,5
152,496137.6,493740.8,153,4622.8,5
153,493740.8,498534.4,154,5552.2,5
154,503328,493740.8,155,4624.6,5
155,493740.8,496137.6,156,4621.8,5
156,496137.6,498534.4,157,4620,5
157,498534.4,496137.6,158,4620.6,5
158,493740.8,493740.8,159,3697.2,5
159,496137.6,500931.2,160,4626.2,5
160,496137.6,496137.6,161,4623.6,5
161,496137.6,493740.8,162,4628.4,5
162,493740.8,493740.8,163,4627,5
163,493740.8,503328,164,4630.6,5
164,500931.2,493740.8,165,4631,5
165,498534.4,493740.8,166,4632.6,5
166,496137.6,498534.4,167,4628.2,5
167,352672,493056,168,3308.28571428571,7
168,352672,494768,169,3306.28571428571,7
169,354384,498192,170,3307.71428571429,7
170,354384,498192,171,3306.71428571429,7
171,414304,494768,172,3313.72857142857,7
172,428000,494768,173,3301.93142857143,7
173,486208,499904,174,3958.06285714286,7
174,501616,493056,175,2638.64,7
175,493056,501616,176,3299.82857142857,7
176,494768,491344,177,3300.73285714286,7
177,499904,499904,178,3958.17428571429,7
178,491344,496480,179,3293.94285714286,7
179,315941.818181818,497880.727272727,180,2098.64545454545,11
180,318120.727272727,495701.818181818,181,2096.45363636364,11
181,311584,495701.818181818,182,2099.72727272727,11
182,315941.818181818,496791.272727273,183,2095.02545454545,11
183,317031.272727273,495701.818181818,184,2097.39090909091,11
184,354072.727272727,495701.818181818,185,2098.32818181818,11
185,367146.181818182,495701.818181818,186,2110.12727272727,11
186,370414.545454545,494612.363636364,187,2103.67,11
187,370414.545454545,495701.818181818,188,2224.36363636364,11
188,375861.818181818,493522.909090909,189,2296.36363636364,11
189,364967.272727273,495701.818181818,190,2300.45454545455,11
190,369325.090909091,494612.363636364,191,2833.09090909091,11
191,366056.727272727,494612.363636364,192,2224.27272727273,11
192,369325.090909091,496791.272727273,193,3239,11
193,368235.636363636,491344,194,2287.18181818182,11
194,370414.545454545,495701.818181818,195,3963.45454545455,11
195,364967.272727273,501149.090909091,196,2031.90909090909,11
196,367146.181818182,494612.363636364,197,4475.09090909091,11
197,364967.272727273,497880.727272727,198,2031.09090909091,11
198,373682.909090909,495701.818181818,199,4966.27272727273,11
199,368235.636363636,496791.272727273,200,2010.63636363636,11
200,364967.272727273,494612.363636364,201,5437.45454545455,11
201,363877.818181818,496791.272727273,202,2015.72727272727,11
202,368235.636363636,495701.818181818,203,4612.45454545455,11
203,371504,494612.363636364,204,3366.54545454545,11
204,368235.636363636,498970.181818182,205,2682,11
205,368235.636363636,494612.363636364,206,2674.90909090909,11
206,369325.090909091,496791.272727273,207,4728.72727272727,11
207,369325.090909091,496791.272727273,208,5387.72727272727,11
208,366056.727272727,497880.727272727,209,3310.54545454545,11
209,379130.181818182,493522.909090909,210,1157.63636363636,11
210,374772.363636364,495701.818181818,211,2823.45454545455,11
211,390024.727272727,493522.909090909,212,3257.63636363636,11
212,369325.090909091,497880.727272727,213,2529.81818181818,11
213,378040.727272727,492433.454545455,214,4579.90909090909,11
214,368235.636363636,495701.818181818,215,2924.18181818182,11
215,367146.181818182,495701.818181818,216,4300.72727272727,11
216,368235.636363636,493522.909090909,217,3320,11
217,367146.181818182,495701.818181818,218,4065.45454545455,11
218,372593.454545455,490254.545454545,219,3021.72727272727,11
219,369325.090909091,497880.727272727,220,3061.18181818182,11
220,395472,495701.818181818,221,2655.54545454545,11
221,423797.818181818,495701.818181818,222,3486.13454545455,11
222,429245.090909091,493522.909090909,223,4107.81045454545,11
223,416171.636363636,500059.636363636,224,2183.04545454545,11
224,420529.454545455,494612.363636364,225,1487.36363636364,11
225,447765.818181818,495701.818181818,226,1871.54545454545,11
226,467376,495701.818181818,227,3864.81818181818,11
227,412903.272727273,493522.909090909,228,1393.03636363636,11
228,407456,493522.909090909,229,4226.38636363636,11
229,412903.272727273,497880.727272727,230,4142.99363636364,11
230,420529.454545455,493522.909090909,231,1990.24636363636,11
231,418350.545454545,495701.818181818,232,4025.45454545455,11
232,425976.727272727,497880.727272727,233,2695.03818181818,11
233,411813.818181818,494612.363636364,234,3035.32645454545,11
234,413992.727272727,496791.272727273,235,3652.2,11
235,433602.909090909,497880.727272727,236,2125.08909090909,11
236,442318.545454545,492433.454545455,237,4152.54545454545,11
237,415082.181818182,500059.636363636,238,3780.73818181818,11
238,412903.272727273,493522.909090909,239,3828.14,11
239,417261.090909091,497880.727272727,240,3168.07,11
240,432513.454545455,494612.363636364,241,2012.63636363636,11
241,436871.272727273,493522.909090909,242,2694.39454545455,11
242,457570.909090909,498970.181818182,243,4329.14545454545,11
243,468465.454545455,492433.454545455,244,3668.28181818182,11
244,477181.090909091,495701.818181818,245,3589.91181818182,11
245,424887.272727273,497880.727272727,246,3425.09090909091,11
246,427066.181818182,494612.363636364,247,2560.86545454545,11
247,419440,496791.272727273,248,3518.75454545455,11
248,430334.545454545,497880.727272727,249,3005.41818181818,11
249,436871.272727273,494612.363636364,250,3915.88727272727,11
250,431424,493522.909090909,251,5118.75818181818,11
251,443408,497880.727272727,252,3691.31181818182,11
252,434692.363636364,492433.454545455,253,3767.42181818182,11
253,419440,497880.727272727,254,3680.03627272727,11
254,449944.727272727,493522.909090909,255,4914.45454545455,11
255,477181.090909091,495701.818181818,256,2972.68181818182,11
256,483717.818181818,496791.272727273,257,3681.09090909091,11
257,427066.181818182,494612.363636364,258,2882.01636363636,11
258,435781.818181818,495701.818181818,259,3278.58181818182,11
259,427066.181818182,495701.818181818,260,3959.71818181818,11
260,422708.363636364,494612.363636364,261,3879.40727272727,11
261,431424,495701.818181818,262,5012.72727272727,11
262,452123.636363636,493522.909090909,263,2622.99181818182,11
263,447765.818181818,491344,264,4147.39090909091,11
264,455392,498970.181818182,265,4197.63636363636,11
265,428155.636363636,494612.363636364,266,3869.53090909091,11
266,423797.818181818,497880.727272727,267,2387.22,11
267,429245.090909091,491344,268,2817.97636363636,11
268,422708.363636364,496791.272727273,269,3868.77363636364,11
269,421618.909090909,493522.909090909,270,3664.87,11
270,429245.090909091,496791.272727273,271,3709.25909090909,11
271,430334.545454545,492433.454545455,272,4564.28181818182,11
272,423797.818181818,497880.727272727,273,4603.97272727273,11
273,422708.363636364,496791.272727273,274,2539.08818181818,11
274,432513.454545455,493522.909090909,275,4218.74090909091,11
275,431424,494612.363636364,276,4009.00545454545,11
276,434692.363636364,496791.272727273,277,3379.6,11
277,416171.636363636,498970.181818182,278,3567.83636363636,11
278,427066.181818182,494612.363636364,279,3571.35727272727,11
279,429245.090909091,497880.727272727,280,4002.67636363636,11
280,432513.454545455,495701.818181818,281,3351.82727272727,11
281,521848.727272727,492433.454545455,282,5510.81818181818,11
282,441229.090909091,497880.727272727,283,4171.51545454545,11
