"time1_size_e2_fs","rec_serv_e2_fs","env_car_e2_fs","time2_delay_e2_fs","delay_rtt_e2_fs","ncars_e2_fs"
139,982688,987481.6,140,3.3706,5
140,989878.4,985084.8,141,3.6866,5
141,980291.2,992275.2,142,1.1614,5
142,992275.2,977894.4,143,5.5896,5
143,985084.8,992275.2,144,3.816,5
144,980291.2,987481.6,145,2.6142,5
145,992275.2,982688,146,5.5144,5
146,985084.8,989878.4,147,3.041,5
147,989878.4,985084.8,148,1.5384,5
148,987481.6,987481.6,149,4.912,5
149,987481.6,989878.4,150,6.3206,5
150,982688,985084.8,151,5.2782,5
151,989878.4,989878.4,152,2.6534,5
152,994672,982688,153,4.014,5
153,982688,989878.4,154,4.3506,5
154,989878.4,985084.8,155,7.5352,5
155,956323.2,989878.4,156,3.6222,5
156,994672,985084.8,157,7.209,5
157,982688,987481.6,158,6.1154,5
158,992275.2,989878.4,159,6.71,5
159,987481.6,985084.8,160,2.7368,5
160,982688,992275.2,161,3.2548,5
161,992275.2,989878.4,162,2.8868,5
162,987481.6,987481.6,163,6.2828,5
163,992275.2,987481.6,164,4.9852,5
164,985084.8,989878.4,165,4.2848,5
165,985084.8,987481.6,166,5.026,5
166,994672,985084.8,167,6.0708,5
167,707056,980976,168,3.09314285714286,7
168,701920,986112,169,4.92885714285714,7
169,703632,991248,170,1.16357142857143,7
170,707056,989536,171,7.607,7
171,816624,987824,172,10.3984285714286,7
172,840592,982688,173,8.11142857142857,7
173,797792,986112,174,38.64,7
174,806352,992960,175,205.484285714286,7
175,799504,982688,176,487.638571428571,7
176,801216,986112,177,275.584285714286,7
177,797792,984400,178,652.928571428571,7
178,802928,986112,179,825.188571428571,7
179,506596.363636364,980509.090909091,180,637.236363636364,11
180,512043.636363636,990314.181818182,181,349.998181818182,11
181,497880.727272727,983777.454545455,182,1001.62090909091,11
182,506596.363636364,987045.818181818,183,917.563636363636,11
183,512043.636363636,983777.454545455,184,503.297272727273,11
184,473912.727272727,983777.454545455,185,1081.08636363636,11
