"time1_size_e2_fn","rec_serv_e2_fn","env_car_e2_fn","time2_delay_e2_fn","delay_rtt_e2_fn","ncars_e2_fn"
144,498534.4,985084.8,154,2272.6,5
145,452995.2,987481.6,155,454.8,5
146,476963.2,989878.4,156,454.4,5
147,575232,985084.8,157,1823.6,5
148,560851.2,989878.4,158,1810.8,5
149,517708.8,987481.6,159,1805.2,5
150,539280,992275.2,161,909,5
151,556057.6,980291.2,162,454.8,5
152,565644.8,989878.4,163,909,5
153,551264,982688,164,453.2,5
154,544073.6,989878.4,165,911.2,5
155,445804.8,987481.6,166,456,5
156,491344,985084.8,167,1360.8,5
157,426630.4,987481.6,168,907.4,5
158,472169.6,987481.6,169,1363,5
159,445804.8,987481.6,170,908.2,5
160,498534.4,985084.8,171,907.754,5
161,405059.2,987481.6,172,914.436,5
162,599200,985084.8,173,908.84,5
163,592009.6,992275.2,174,1018.4,5
164,577628.8,982688,176,1378,5
165,541676.8,985084.8,177,2688.4,5
166,284952.888888889,973367.111111111,178,753.666666666667,9
167,302263.111111111,988014.222222222,179,1468.88888888889,9
168,290279.111111111,988014.222222222,180,1954.22222222222,9
169,334220.444444444,988014.222222222,181,754,9
170,350199.111111111,982688,182,1005.22222222222,9
171,366177.777777778,988014.222222222,183,1006.66666666667,9
172,505991.111111111,982688,184,1008.66666666667,9
173,527296,989345.777777778,185,251.333333333333,9
174,544606.222222222,986682.666666667,186,1261.88888888889,9
175,559253.333333333,988014.222222222,187,1007.44444444444,9
176,556590.222222222,988014.222222222,188,754.555555555556,9
177,560584.888888889,989345.777777778,189,759.333333333333,9
178,478270.545454545,981598.545454545,190,1036.81818181818,11
179,490254.545454545,989224.727272727,191,1653.45454545455,11
180,489165.090909091,984866.909090909,192,824.181818181818,11
181,482628.363636364,988135.272727273,193,826.636363636364,11
182,483717.818181818,984866.909090909,194,619.636363636364,11
183,507685.818181818,985956.363636364,195,1436.63636363636,11
184,443408,987045.818181818,197,823,11
185,510954.181818182,982688,198,619.181818181818,11
186,527296,988135.272727273,199,412.818181818182,11
187,498970.181818182,987045.818181818,200,620.636363636364,11
188,485896.727272727,988135.272727273,201,414.636363636364,11
189,540369.454545455,983777.454545455,202,1039.90909090909,11
190,498970.181818182,987045.818181818,203,832.090909090909,11
191,534922.181818182,991403.636363636,204,622.545454545455,11
192,472823.272727273,984866.909090909,205,831.363636363636,11
193,464107.636363636,990314.181818182,206,829.181818181818,11
194,461928.727272727,985956.363636364,207,414.636363636364,11
195,495701.818181818,989224.727272727,208,208.909090909091,11
196,483717.818181818,988135.272727273,209,1247.81818181818,11
197,456481.454545455,989224.727272727,210,413.909090909091,11
198,493522.909090909,984866.909090909,211,1036.45454545455,11
199,470644.363636364,987045.818181818,212,1238.18181818182,11
200,486986.181818182,984866.909090909,213,828.909090909091,11
201,471733.818181818,990314.181818182,214,827.818181818182,11
202,449944.727272727,985956.363636364,215,1031.36363636364,11
203,430334.545454545,982688,216,1229.18181818182,11
204,437960.727272727,982688,217,1035.09090909091,11
205,457570.909090909,985956.363636364,218,206.181818181818,11
206,466286.545454545,979419.636363636,219,415.090909090909,11
207,503328,988135.272727273,220,1040.36363636364,11
208,497880.727272727,982688,221,206.636363636364,11
209,463018.181818182,982688,222,413.636363636364,11
210,480449.454545455,979419.636363636,223,1244.72727272727,11
211,461928.727272727,985956.363636364,224,620.545454545455,11
212,464107.636363636,983777.454545455,225,415.363636363636,11
213,436871.272727273,985956.363636364,226,829.545454545455,11
214,479360,985956.363636364,227,414,11
215,501149.090909091,980509.090909091,228,626.727272727273,11
216,431424,973972.363636364,229,1453,11
217,459749.818181818,976151.272727273,230,1037.27272727273,11
218,472823.272727273,981598.545454545,231,206,11
219,504417.454545455,979419.636363636,232,416.181818181818,11
220,513133.090909091,988135.272727273,233,622.181818181818,11
221,490254.545454545,987045.818181818,234,617.272727272727,11
222,485896.727272727,983777.454545455,235,1035,11
223,432513.454545455,987045.818181818,236,1033.63636363636,11
224,439050.181818182,981598.545454545,237,1234,11
225,459749.818181818,982688,238,1239.45454545455,11
226,422708.363636364,981598.545454545,239,206.909090909091,11
227,482628.363636364,980509.090909091,240,1655.63636363636,11
228,452123.636363636,976151.272727273,241,621.181818181818,11
229,477181.090909091,978330.181818182,242,1032.09090909091,11
230,477181.090909091,980509.090909091,243,413.090909090909,11
231,510954.181818182,994672,244,1035,11
232,502238.545454545,981598.545454545,245,622.636363636364,11
233,468465.454545455,987045.818181818,246,620,11
234,496791.272727273,978330.181818182,247,619.272727272727,11
235,477181.090909091,982688,248,620.363636363636,11
236,493522.909090909,983777.454545455,249,620.727272727273,11
237,452123.636363636,988135.272727273,251,416.454545454545,11
238,448855.272727273,983777.454545455,252,1032.09090909091,11
239,481538.909090909,987045.818181818,253,621.636363636364,11
240,516401.454545455,979419.636363636,254,826.181818181818,11
241,473912.727272727,984866.909090909,255,207.272727272727,11
242,464107.636363636,985956.363636364,256,626.636363636364,11
243,516401.454545455,976151.272727273,257,1038.45454545455,11
244,434692.363636364,987045.818181818,258,206.727272727273,11
245,498970.181818182,985956.363636364,259,830.727272727273,11
246,494612.363636364,984866.909090909,260,1035.72727272727,11
247,467376,988135.272727273,261,826.454545454545,11
248,479360,984866.909090909,262,826.363636363636,11
249,472823.272727273,983777.454545455,263,1035.81818181818,11
250,503328,984866.909090909,264,1033.36363636364,11
251,478270.545454545,985956.363636364,265,1233.81818181818,11
252,448855.272727273,985956.363636364,266,823.545454545455,11
253,443408,981598.545454545,267,620.545454545455,11
254,530564.363636364,989224.727272727,268,830.363636363636,11
255,522938.181818182,983777.454545455,269,621.818181818182,11
256,478270.545454545,985956.363636364,270,828.272727272727,11
257,456481.454545455,981598.545454545,271,415.636363636364,11
258,421618.909090909,985956.363636364,272,415.090909090909,11
259,458660.363636364,983777.454545455,273,1460.63636363636,11
260,489165.090909091,981598.545454545,274,415.909090909091,11
261,460839.272727273,982688,275,1036.72727272727,11
262,432513.454545455,987045.818181818,276,828.727272727273,11
263,537101.090909091,980509.090909091,277,416.272727272727,11
264,510954.181818182,988135.272727273,278,1034.81818181818,11
265,516401.454545455,983777.454545455,279,1036.63636363636,11
266,489165.090909091,982688,280,619.272727272727,11
267,488075.636363636,983777.454545455,281,1033.72727272727,11
268,506596.363636364,982688,282,621.727272727273,11
269,472823.272727273,981598.545454545,283,621.636363636364,11
270,498970.181818182,984866.909090909,284,1446.90909090909,11
271,513133.090909091,984866.909090909,285,825.272727272727,11
272,465197.090909091,979419.636363636,286,414.727272727273,11
273,432513.454545455,983777.454545455,287,1035.63636363636,11
274,439050.181818182,984866.909090909,288,414.636363636364,11
275,479360,988135.272727273,289,1037.27272727273,11
276,433602.909090909,981598.545454545,290,1036.45454545455,11
277,465197.090909091,984866.909090909,291,620.181818181818,11
278,424887.272727273,981598.545454545,292,1035.54545454545,11
279,461928.727272727,987045.818181818,293,619.727272727273,11
280,479360,982688,294,827.181818181818,11
281,502238.545454545,988135.272727273,295,827.181818181818,11
282,449944.727272727,985956.363636364,296,620.636363636364,11
283,470644.363636364,984866.909090909,297,1035.63636363636,11
284,494612.363636364,988135.272727273,298,828,11
285,515312,980509.090909091,299,414.272727272727,11
286,503328,989224.727272727,300,622.363636363636,11
287,472823.272727273,987045.818181818,301,413.090909090909,11
288,490254.545454545,990314.181818182,302,828.545454545455,11
289,501149.090909091,988135.272727273,303,623.454545454545,11
290,479360,985956.363636364,304,827.636363636364,11
291,491344,988135.272727273,305,1034.09090909091,11
292,477181.090909091,988135.272727273,306,412.727272727273,11
293,449944.727272727,987045.818181818,307,1241.54545454545,11
294,500059.636363636,983777.454545455,308,1448.45454545455,11
295,469554.909090909,987045.818181818,309,823.818181818182,11
296,501149.090909091,985956.363636364,310,1238.72727272727,11
297,469554.909090909,980509.090909091,311,616.818181818182,11
298,455392,979419.636363636,312,1035.45454545455,11
