"time1_size_s_fs","rec_serv_s_fs","env_car_s_fs","time2_delay_s_fs","delay_rtt_s_fs","ncars_s_fs"
157,493740.8,498534.4,158,1.5232,5
158,500931.2,493740.8,159,1.788,5
159,491344,496137.6,160,1.2996,5
160,498534.4,498534.4,161,0.6356,5
161,496137.6,500931.2,162,1.6474,5
162,498534.4,498534.4,163,1.0814,5
163,496137.6,493740.8,164,0.921,5
164,491344,496137.6,165,0.62,5
165,599200,496137.6,166,1.214,5
166,613580.8,498534.4,167,0.7434,5
167,494768,493056,168,0.717,7
168,499904,494768,169,0.523571428571429,7
169,493056,494768,170,0.872428571428571,7
170,494768,498192,171,0.606857142857143,7
171,496480,493056,172,1.297,7
172,494768,498192,173,1.49757142857143,7
173,498192,496480,174,6.81071428571429,7
174,491344,498192,175,3.21842857142857,7
175,503328,496480,176,2.064,7
176,491344,498192,177,1.20542857142857,7
177,511888,494768,178,4.12728571428571,7
178,566672,494768,179,2.49528571428571,7
179,367146.181818182,497880.727272727,180,2.63254545454545,11
180,410724.363636364,495701.818181818,181,1.15863636363636,11
181,444497.454545455,496791.272727273,182,0.944181818181818,11
182,497880.727272727,494612.363636364,183,0.612909090909091,11
183,495701.818181818,495701.818181818,184,2.26590909090909,11
184,498970.181818182,495701.818181818,185,1.54554545454545,11
185,493522.909090909,495701.818181818,186,1.01945454545455,11
186,495701.818181818,492433.454545455,187,1.24963636363636,11
187,490254.545454545,496791.272727273,188,2.43454545454545,11
188,489165.090909091,495701.818181818,189,10.5268181818182,11
189,495701.818181818,495701.818181818,190,2.42345454545455,11
190,493522.909090909,495701.818181818,191,7.65545454545455,11
191,491344,495701.818181818,192,2.00272727272727,11
192,497880.727272727,493522.909090909,193,1.93863636363636,11
193,491344,497880.727272727,194,16.4959090909091,11
194,498970.181818182,495701.818181818,195,5.13090909090909,11
195,491344,494612.363636364,196,2.25909090909091,11
196,486986.181818182,494612.363636364,197,9.41027272727273,11
197,484807.272727273,496791.272727273,198,2.70463636363636,11
198,488075.636363636,497880.727272727,199,4.67545454545455,11
199,489165.090909091,492433.454545455,200,2.97654545454545,11
200,496791.272727273,495701.818181818,201,12.2074545454545,11
201,493522.909090909,494612.363636364,202,4.926,11
202,483717.818181818,500059.636363636,203,5.09472727272727,11
203,472823.272727273,492433.454545455,204,3.58818181818182,11
204,482628.363636364,494612.363636364,205,3.89818181818182,11
205,458660.363636364,500059.636363636,206,2.22345454545455,11
206,484807.272727273,493522.909090909,207,4.16527272727273,11
207,490254.545454545,498970.181818182,208,5.16654545454545,11
208,485896.727272727,495701.818181818,209,8.66727272727273,11
209,483717.818181818,493522.909090909,210,3.19445454545455,11
210,484807.272727273,497880.727272727,211,10.2987272727273,11
211,459749.818181818,497880.727272727,212,4.50727272727273,11
212,480449.454545455,496791.272727273,213,7.55181818181818,11
213,480449.454545455,494612.363636364,214,15.8712727272727,11
214,488075.636363636,490254.545454545,215,1.82881818181818,11
215,451034.181818182,495701.818181818,216,4.47327272727273,11
216,464107.636363636,493522.909090909,217,2.60581818181818,11
217,481538.909090909,497880.727272727,218,10.0312727272727,11
218,449944.727272727,495701.818181818,219,6.65763636363636,11
219,391114.181818182,494612.363636364,220,5.63881818181818,11
220,386756.363636364,495701.818181818,221,12.7199090909091,11
221,467376,494612.363636364,222,4.38390909090909,11
222,454302.545454545,495701.818181818,223,7.60245454545455,11
223,477181.090909091,495701.818181818,224,7.14518181818182,11
224,436871.272727273,496791.272727273,225,4.93272727272727,11
225,406366.545454545,495701.818181818,226,3.19818181818182,11
226,351893.818181818,497880.727272727,227,3.35090909090909,11
227,471733.818181818,495701.818181818,228,9.41181818181818,11
228,468465.454545455,494612.363636364,229,4.67945454545455,11
229,443408,496791.272727273,230,6.87945454545455,11
230,441229.090909091,493522.909090909,231,4.63709090909091,11
231,484807.272727273,496791.272727273,232,10.1245454545455,11
232,463018.181818182,496791.272727273,233,6.85327272727273,11
233,471733.818181818,494612.363636364,234,7.20090909090909,11
234,405277.090909091,496791.272727273,235,3.52809090909091,11
235,427066.181818182,493522.909090909,236,7.46454545454545,11
236,418350.545454545,497880.727272727,237,2.20190909090909,11
237,452123.636363636,495701.818181818,238,3.42581818181818,11
238,464107.636363636,496791.272727273,239,2.49472727272727,11
239,484807.272727273,497880.727272727,240,5.92545454545454,11
240,468465.454545455,492433.454545455,241,9.80818181818182,11
241,467376,497880.727272727,242,4.47072727272727,11
242,467376,493522.909090909,243,4.73854545454545,11
243,446676.363636364,497880.727272727,244,4.79818181818182,11
244,437960.727272727,495701.818181818,245,5.25454545454545,11
245,477181.090909091,495701.818181818,246,8.32572727272727,11
246,495701.818181818,496791.272727273,247,6.54690909090909,11
247,498970.181818182,498970.181818182,248,7.77663636363636,11
248,463018.181818182,489165.090909091,249,2.70363636363636,11
249,453213.090909091,497880.727272727,250,7.39090909090909,11
250,465197.090909091,491344,251,8.63363636363636,11
251,473912.727272727,498970.181818182,252,4.58863636363636,11
252,479360,494612.363636364,253,1.99645454545455,11
253,494612.363636364,498970.181818182,254,5.08718181818182,11
254,466286.545454545,494612.363636364,255,6.15636363636364,11
255,442318.545454545,497880.727272727,256,6.95363636363636,11
256,439050.181818182,495701.818181818,257,7.58636363636364,11
257,478270.545454545,493522.909090909,258,2.16236363636364,11
258,483717.818181818,497880.727272727,259,5.27881818181818,11
259,489165.090909091,493522.909090909,260,5.64790909090909,11
260,496791.272727273,495701.818181818,261,11.4279090909091,11
261,486986.181818182,495701.818181818,262,3.80545454545455,11
262,482628.363636364,492433.454545455,263,6.74545454545455,11
263,481538.909090909,495701.818181818,264,8.54727272727273,11
264,469554.909090909,495701.818181818,265,4.44636363636364,11
265,494612.363636364,496791.272727273,266,3.75781818181818,11
266,488075.636363636,495701.818181818,267,8.44545454545455,11
267,494612.363636364,495701.818181818,268,4.48354545454545,11
268,493522.909090909,493522.909090909,269,3.16481818181818,11
269,488075.636363636,496791.272727273,270,12.3289090909091,11
270,491344,491344,271,4.40318181818182,11
271,485896.727272727,495701.818181818,272,4.28754545454545,11
272,493522.909090909,492433.454545455,273,4.21009090909091,11
273,490254.545454545,495701.818181818,274,11.1554545454545,11
274,463018.181818182,494612.363636364,275,5.10763636363636,11
275,431424,495701.818181818,276,5.69636363636364,11
276,472823.272727273,496791.272727273,277,4.94990909090909,11
277,378040.727272727,494612.363636364,278,8.56363636363636,11
278,473912.727272727,497880.727272727,279,9.11290909090909,11
279,482628.363636364,495701.818181818,280,9.05636363636364,11
280,451034.181818182,495701.818181818,281,13.2918181818182,11
281,402008.727272727,498970.181818182,282,4.43,11
282,429245.090909091,495701.818181818,283,3.94727272727273,11
283,406366.545454545,496791.272727273,284,3.82,11
284,432513.454545455,494612.363636364,285,6.53363636363636,11
285,492433.454545455,496791.272727273,286,7.71,11
286,465197.090909091,495701.818181818,287,7.34363636363636,11
287,471733.818181818,494612.363636364,288,8.15272727272727,11
288,405277.090909091,495701.818181818,289,5.91790909090909,11
289,452123.636363636,495701.818181818,290,2.14,11
290,463018.181818182,494612.363636364,291,5.10181818181818,11
291,477181.090909091,498970.181818182,292,7.08990909090909,11
292,437960.727272727,494612.363636364,293,19.7309090909091,11
293,434692.363636364,493522.909090909,294,13.0136363636364,11
294,452123.636363636,495701.818181818,295,5.16618181818182,11
295,405277.090909091,496791.272727273,296,6.73363636363636,11
296,483717.818181818,496791.272727273,297,8.33,11
297,490254.545454545,494612.363636364,298,13.1354545454545,11
298,420529.454545455,495701.818181818,299,7.38090909090909,11
299,379130.181818182,493522.909090909,300,7.47818181818182,11
300,479360,500059.636363636,301,7.52390909090909,11
301,434692.363636364,489165.090909091,302,4.76081818181818,11
302,482628.363636364,498970.181818182,303,7.46363636363636,11
303,478270.545454545,492433.454545455,304,3.936,11
304,479360,497880.727272727,305,6.74636363636364,11
305,417261.090909091,493522.909090909,306,6.49663636363636,11
306,493522.909090909,497880.727272727,307,6.42909090909091,11
307,454302.545454545,494612.363636364,308,1.99281818181818,11
308,454302.545454545,497880.727272727,309,6.11127272727273,11
309,445586.909090909,496791.272727273,310,4.61827272727273,11
310,418350.545454545,496791.272727273,311,8.26818181818182,11
311,494612.363636364,496791.272727273,312,9.00181818181818,11
312,496791.272727273,491344,313,4.74518181818182,11
313,473912.727272727,496791.272727273,314,5.60090909090909,11
