"time1_size_g_fn","rec_serv_g_fn","env_car_g_fn","time2_delay_g_fn","delay_rtt_g_fn","ncars_g_fn"
163,261251.2,498534.4,178,1816.6,5
164,294806.4,496137.6,179,2648.6,5
165,280425.6,496137.6,180,3967.2,5
166,117176.888888889,491344,181,753.555555555556,9
167,129160.888888889,499333.333333333,182,501.444444444444,9
168,131824,495338.666666667,183,755.111111111111,9
169,131824,499333.333333333,184,754.555555555556,9
170,113182.222222222,495338.666666667,185,251.111111111111,9
171,198401.777777778,495338.666666667,186,1007.88888888889,9
172,241011.555555556,498001.777777778,187,1007.55555555556,9
173,300931.555555556,496670.222222222,188,1257.44444444444,9
174,292942.222222222,495338.666666667,189,758.222222222222,9
175,304926.222222222,498001.777777778,190,1518.22222222222,9
176,282289.777777778,492675.555555556,191,505.333333333333,9
177,290279.111111111,499333.333333333,192,1011,9
178,257111.272727273,495701.818181818,193,826,11
179,260379.636363636,494612.363636364,194,1652.72727272727,11
180,248395.636363636,495701.818181818,195,409.818181818182,11
181,257111.272727273,500059.636363636,196,1232,11
182,246216.727272727,492433.454545455,197,1033.18181818182,11
183,202638.545454545,497880.727272727,198,618.181818181818,11
184,232053.818181818,493522.909090909,199,413.727272727273,11
185,222248.727272727,501149.090909091,200,206.818181818182,11
186,200459.636363636,495701.818181818,201,207.818181818182,11
187,235322.181818182,494612.363636364,202,208,11
188,228785.454545455,498970.181818182,203,623.454545454545,11
189,200459.636363636,493522.909090909,204,1042.36363636364,11
190,227696,497880.727272727,205,832.545454545455,11
191,208085.818181818,495701.818181818,206,621.545454545455,11
192,217890.909090909,495701.818181818,207,619.363636363636,11
193,262558.545454545,496791.272727273,208,207.545454545455,11
194,230964.363636364,493522.909090909,209,622.818181818182,11
195,212443.636363636,497880.727272727,210,831.272727272727,11
196,221159.272727273,492433.454545455,211,1035.27272727273,11
197,249485.090909091,495701.818181818,212,617.727272727273,11
198,247306.181818182,497880.727272727,213,830.909090909091,11
199,244037.818181818,493522.909090909,214,622.727272727273,11
200,213533.090909091,500059.636363636,215,826.909090909091,11
201,237501.090909091,492433.454545455,216,1030.72727272727,11
202,251664,497880.727272727,217,623.909090909091,11
203,250574.545454545,493522.909090909,218,416.090909090909,11
204,248395.636363636,497880.727272727,219,622.727272727273,11
205,256021.818181818,497880.727272727,220,1036.72727272727,11
206,246216.727272727,493522.909090909,221,620.090909090909,11
207,226606.545454545,492433.454545455,222,1033,11
208,216801.454545455,497880.727272727,223,621,11
209,249485.090909091,490254.545454545,224,206.727272727273,11
210,234232.727272727,497880.727272727,225,1039.27272727273,11
211,191744,493522.909090909,226,413.909090909091,11
212,238590.545454545,496791.272727273,227,829.909090909091,11
213,250574.545454545,494612.363636364,228,415.818181818182,11
214,235322.181818182,496791.272727273,229,831.363636363636,11
215,216801.454545455,490254.545454545,230,1035,11
216,230964.363636364,496791.272727273,231,619.818181818182,11
217,233143.272727273,496791.272727273,232,208.363636363636,11
218,235322.181818182,495701.818181818,233,829.545454545455,11
219,223338.181818182,495701.818181818,234,414.636363636364,11
220,222248.727272727,497880.727272727,235,826.363636363636,11
221,218980.363636364,491344,236,1229.36363636364,11
222,247306.181818182,496791.272727273,237,410.454545454545,11
223,282168.727272727,494612.363636364,238,1236.09090909091,11
224,262558.545454545,497880.727272727,239,620,11
225,238590.545454545,494612.363636364,240,1034.81818181818,11
226,242948.363636364,493522.909090909,241,1036.27272727273,11
227,228785.454545455,497880.727272727,242,617.181818181818,11
228,249485.090909091,496791.272727273,243,828.727272727273,11
229,235322.181818182,495701.818181818,244,412.181818181818,11
230,240769.454545455,493522.909090909,245,413.181818181818,11
231,220069.818181818,495701.818181818,246,827.090909090909,11
232,224427.636363636,494612.363636364,247,622.545454545455,11
233,242948.363636364,497880.727272727,248,1865.63636363636,11
234,229874.909090909,494612.363636364,249,416,11
235,242948.363636364,497880.727272727,250,1241.63636363636,11
236,228785.454545455,492433.454545455,251,1242.72727272727,11
237,239680,496791.272727273,252,1238.54545454545,11
238,264737.454545455,493522.909090909,253,619,11
239,251664,495701.818181818,254,1240.45454545455,11
240,238590.545454545,492433.454545455,255,828.090909090909,11
241,237501.090909091,497880.727272727,256,415.090909090909,11
242,242948.363636364,492433.454545455,257,624.545454545455,11
243,225517.090909091,494612.363636364,258,625.636363636364,11
244,233143.272727273,493522.909090909,259,414.636363636364,11
245,240769.454545455,500059.636363636,260,829.909090909091,11
246,217890.909090909,491344,261,1037.27272727273,11
247,250574.545454545,494612.363636364,262,826.545454545455,11
248,225517.090909091,495701.818181818,263,1032.45454545455,11
249,241858.909090909,496791.272727273,264,1238.63636363636,11
250,211354.181818182,496791.272727273,265,1234.90909090909,11
251,236411.636363636,495701.818181818,266,822.181818181818,11
252,254932.363636364,493522.909090909,267,1240,11
253,218980.363636364,496791.272727273,268,1036.63636363636,11
254,199370.181818182,492433.454545455,269,208.090909090909,11
255,228785.454545455,496791.272727273,270,1451.54545454545,11
256,253842.909090909,494612.363636364,271,623.636363636364,11
257,264737.454545455,500059.636363636,272,1039.27272727273,11
258,277810.909090909,491344,273,1246.27272727273,11
259,239680,497880.727272727,274,1036.18181818182,11
260,218980.363636364,494612.363636364,275,827.545454545455,11
261,233143.272727273,494612.363636364,276,1033.45454545455,11
262,252753.454545455,498970.181818182,277,622.363636363636,11
263,227696,491344,278,1038,11
264,215712,498970.181818182,279,828.090909090909,11
265,237501.090909091,493522.909090909,280,1656.36363636364,11
266,221159.272727273,495701.818181818,281,1238.81818181818,11
267,228785.454545455,495701.818181818,282,622,11
